dataset,model,idx,complexity,group,iou,dice
OxfordPet,unet_resnet34,61,0.1895050048828125,Medium,0.8595327536265055,0.9207781950632731
OxfordPet,unet_resnet34,62,0.2288421630859375,Hard,0.8501284122467041,0.9161363641421
OxfordPet,unet_resnet34,63,0.09974212646484375,Easy,0.7221862475077311,0.833796223004659
OxfordPet,unet_resnet34,64,0.2168487548828125,Medium,0.7909849683443705,0.8749301433563232
OxfordPet,unet_resnet34,65,0.10977935791015625,Easy,0.8778448502222697,0.9317010442415873
OxfordPet,unet_resnet34,66,0.16353607177734375,Easy,0.7237207889556885,0.8239159981409708
OxfordPet,unet_resnet34,67,0.262982177734375,Hard,0.869759996732076,0.9277875622113546
OxfordPet,unet_resnet34,68,0.1547088623046875,Easy,0.8555907011032104,0.9174796541531881
OxfordPet,unet_resnet34,69,0.26529541015625,Hard,0.8530632058779398,0.916973610719045
OxfordPet,unet_resnet34,70,0.18655700683593748,Medium,0.7381336291631063,0.8429210980733236
OxfordPet,unet_resnet34,71,0.21782379150390624,Medium,0.8315882881482443,0.9017889300982157
OxfordPet,unet_resnet34,72,0.28258361816406247,Hard,0.8149334589640299,0.8883366783459982
OxfordPet,unet_resnet34,73,0.206427001953125,Medium,0.8484894235928854,0.9113049904505411
OxfordPet,unet_resnet34,74,0.20593719482421874,Medium,0.8030132452646891,0.8835494915644327
OxfordPet,unet_resnet34,75,0.1895751953125,Medium,0.8530439535776774,0.9138504465421041
OxfordPet,unet_resnet34,76,0.22997283935546875,Hard,0.8162777821222941,0.8907759189605713
OxfordPet,unet_resnet34,77,0.2231536865234375,Medium,0.8817949692408243,0.933539609114329
OxfordPet,unet_resnet34,78,0.13686981201171874,Easy,0.6843085289001465,0.8017480373382568
OxfordPet,unet_resnet34,79,0.24834442138671875,Hard,0.8392495910326639,0.9077852964401245
OxfordPet,unet_resnet34,80,0.17780609130859373,Easy,0.87974613904953,0.9334852496782938
OxfordPet,unet_resnet34,81,0.215374755859375,Medium,0.8721540768941244,0.9283904234568278
OxfordPet,unet_resnet34,82,0.1929779052734375,Medium,0.8173123002052307,0.8943220774332682
OxfordPet,unet_resnet34,83,0.05654144287109375,Easy,0.8440481623013815,0.9102083245913187
OxfordPet,unet_resnet34,84,0.22574462890625,Medium,0.8814283212025961,0.9344403147697449
OxfordPet,unet_resnet34,85,0.1656951904296875,Easy,0.7492250800132751,0.8488089044888815
OxfordPet,unet_resnet34,86,0.1800506591796875,Medium,0.8931414484977722,0.9400191108385721
OxfordPet,unet_resnet34,87,0.0968658447265625,Easy,0.7525760332743326,0.8531967202822367
OxfordPet,unet_resnet34,88,0.210870361328125,Medium,0.7704125841458639,0.8572956720987955
OxfordPet,unet_resnet34,89,0.1437286376953125,Easy,0.8081900874773661,0.8856624166170756
OxfordPet,unet_resnet34,90,0.08852691650390625,Easy,0.8081083496411642,0.8872862259546915
OxfordPet,unet_resnet34,91,0.23445281982421876,Hard,0.8562342325846354,0.9174559315045675
OxfordPet,unet_resnet34,92,0.14578704833984374,Easy,0.859249989191691,0.9208025137583414
OxfordPet,unet_resnet34,93,0.2548004150390625,Hard,0.8769582907358805,0.9311402241388956
OxfordPet,unet_resnet34,94,0.2706451416015625,Hard,0.8476265470186869,0.9130576054255167
OxfordPet,unet_resnet34,95,0.14277038574218748,Easy,0.8630658984184265,0.9213237762451172
OxfordPet,unet_resnet34,96,0.2638519287109375,Hard,0.7949433922767639,0.8800657590230306
OxfordPet,unet_resnet34,97,0.21225280761718748,Medium,0.8419458071390787,0.9097046057383219
OxfordPet,unet_resnet34,98,0.2301239013671875,Hard,0.7268229126930237,0.8351477384567261
OxfordPet,unet_resnet34,99,0.23280639648437498,Hard,0.7361545562744141,0.8299557566642761
OxfordPet,unet_resnet34,100,0.24202728271484375,Hard,0.7097098131974539,0.8149427970250448
OxfordPet,unet_resnet34,101,0.24055938720703124,Hard,0.8403377930323283,0.9078757762908936
OxfordPet,unet_resnet34,102,0.2136474609375,Medium,0.6854069431622823,0.8068720499674479
OxfordPet,unet_resnet34,103,0.1991058349609375,Medium,0.7766130169232687,0.8654794891675314
OxfordPet,unet_resnet34,104,0.1446441650390625,Easy,0.7368504007657369,0.8359868327776591
OxfordPet,unet_resnet34,105,0.1226531982421875,Easy,0.8208336432774862,0.8943901459376017
OxfordPet,unet_resnet34,106,0.20539398193359373,Medium,0.7669883569081625,0.859503706296285
OxfordPet,unet_resnet34,107,0.20011444091796873,Medium,0.7568114201227824,0.8437689542770386
OxfordPet,unet_resnet34,108,0.22321014404296874,Medium,0.8266226251920065,0.8980312744776408
OxfordPet,unet_resnet34,109,0.2154541015625,Medium,0.7430751522382101,0.84529181321462
OxfordPet,unet_resnet34,110,0.22801513671874998,Hard,0.7711384097735087,0.8612093528111776
OxfordPet,unet_resnet34,111,0.17666015625,Easy,0.6878681282202402,0.7925211191177368
OxfordPet,unet_resnet34,112,0.23640899658203124,Hard,0.829120914141337,0.8979989290237427
OxfordPet,unet_resnet34,113,0.0877227783203125,Easy,0.8214106559753418,0.8920688231786092
OxfordPet,unet_resnet34,114,0.206329345703125,Medium,0.7575424909591675,0.8487947980562845
OxfordPet,unet_resnet34,115,0.1131561279296875,Easy,0.7570397953192393,0.8448307911554972
OxfordPet,unet_resnet34,116,0.13336639404296874,Easy,0.8289209802945455,0.9005831877390543
OxfordPet,unet_resnet34,117,0.15238037109375,Easy,0.817094067732493,0.8913760582605997
OxfordPet,unet_resnet34,118,0.18275756835937498,Medium,0.8529053131739298,0.9144996404647827
OxfordPet,unet_resnet34,119,0.241729736328125,Hard,0.8268854816754659,0.8983058532079061
OxfordPet,deeplabv3plus_resnet34,0,0.2471893310546875,Hard,0.7828675905863444,0.8666839599609375
OxfordPet,deeplabv3plus_resnet34,1,0.2541152954101562,Hard,0.8434800505638123,0.9096642732620239
OxfordPet,deeplabv3plus_resnet34,2,0.23454589843749998,Hard,0.786327600479126,0.8725160161654154
OxfordPet,deeplabv3plus_resnet34,3,0.2270050048828125,Hard,0.6677894294261932,0.787526528040568
OxfordPet,deeplabv3plus_resnet34,4,0.14173736572265624,Easy,0.8185243010520935,0.8914603988329569
OxfordPet,deeplabv3plus_resnet34,5,0.24851837158203124,Hard,0.5927580992380778,0.7307059367497762
OxfordPet,deeplabv3plus_resnet34,6,0.2511993408203125,Hard,0.8409358859062195,0.9086607694625854
OxfordPet,deeplabv3plus_resnet34,7,0.1489166259765625,Easy,0.8882258733113607,0.9376677672068278
OxfordPet,deeplabv3plus_resnet34,8,0.23486785888671874,Hard,0.7765692869822184,0.8641726970672607
OxfordPet,deeplabv3plus_resnet34,9,0.187646484375,Medium,0.7977573474248251,0.8811967571576437
OxfordPet,deeplabv3plus_resnet34,10,0.22253570556640626,Medium,0.7085293630758921,0.80925319592158
OxfordPet,deeplabv3plus_resnet34,11,0.1406280517578125,Easy,0.8057312568028768,0.8825677037239075
OxfordPet,deeplabv3plus_resnet34,12,0.16244354248046874,Easy,0.5868100921312968,0.7353354295094808
OxfordPet,deeplabv3plus_resnet34,13,0.18466339111328126,Medium,0.8506211241086324,0.9141205747922262
OxfordPet,deeplabv3plus_resnet34,14,0.11112823486328124,Easy,0.7245852847894033,0.8289080063501993
OxfordPet,deeplabv3plus_resnet34,15,0.23689727783203124,Hard,0.5991515417893728,0.7184736033280691
OxfordPet,deeplabv3plus_resnet34,16,0.15647277832031248,Easy,0.7131480276584625,0.8146614034970602
OxfordPet,deeplabv3plus_resnet34,17,0.2161773681640625,Medium,0.8849459687868754,0.9349279205004374
OxfordPet,deeplabv3plus_resnet34,18,0.19587860107421876,Medium,0.8460349043210348,0.91191166639328
OxfordPet,deeplabv3plus_resnet34,19,0.12273406982421875,Easy,0.7407583594322205,0.8424194653828939
OxfordPet,deeplabv3plus_resnet34,20,0.2582305908203125,Hard,0.7708153128623962,0.8570831418037415
OxfordPet,deeplabv3plus_resnet34,21,0.06302947998046875,Easy,0.5070587595303854,0.6584399342536926
OxfordPet,deeplabv3plus_resnet34,22,0.2029876708984375,Medium,0.8465783794720968,0.912903368473053
OxfordPet,deeplabv3plus_resnet34,23,0.1706512451171875,Easy,0.862409790356954,0.9207653601964315
OxfordPet,deeplabv3plus_resnet34,24,0.2258148193359375,Hard,0.7316970825195312,0.8295055627822876
OxfordPet,deeplabv3plus_resnet34,25,0.22142181396484376,Medium,0.8342470328013102,0.9022806882858276
OxfordPet,deeplabv3plus_resnet34,26,0.23341827392578124,Hard,0.8464959462483724,0.911075750986735
OxfordPet,deeplabv3plus_resnet34,27,0.2319793701171875,Hard,0.8606045444806417,0.920576016108195
OxfordPet,deeplabv3plus_resnet34,28,0.1567657470703125,Easy,0.8511157830556234,0.9137238462766012
OxfordPet,deeplabv3plus_resnet34,29,0.26130828857421873,Hard,0.7538764874140421,0.8465505441029867
OxfordPet,deeplabv3plus_resnet34,30,0.248321533203125,Hard,0.7952036658922831,0.8753902117411295
OxfordPet,deeplabv3plus_resnet34,31,0.23074951171875,Hard,0.7903072039286295,0.8733835419019064
OxfordPet,deeplabv3plus_resnet34,32,0.1800140380859375,Medium,0.8292140563329061,0.900929311911265
OxfordPet,deeplabv3plus_resnet34,33,0.26867523193359377,Hard,0.8229588071505228,0.8961722652117411
OxfordPet,deeplabv3plus_resnet34,34,0.25756072998046875,Hard,0.854265034198761,0.9179909229278564
OxfordPet,deeplabv3plus_resnet34,35,0.25562744140625,Hard,0.8333169420560201,0.9019654194513956
OxfordPet,deeplabv3plus_resnet34,36,0.24518127441406248,Hard,0.778206447760264,0.8599379261334738
OxfordPet,deeplabv3plus_resnet34,37,0.265509033203125,Hard,0.8433564702669779,0.9103754560152689
OxfordPet,deeplabv3plus_resnet34,38,0.1498504638671875,Easy,0.8286927342414856,0.8968029220898946
